dim1,dim2,url1,url2
status,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image96.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image102.svg
control6,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-6-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image84.svg
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image98.svg
similarity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image109.svg
baseline,control15,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-15-txt.svg
identity,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image89.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image90.svg
baseline,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg
fun,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image42.svg
status,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image112.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image111.svg
similarity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image19.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image110.svg
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image31.svg
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image135.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
fun,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
control12,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-12-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg
support,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image122.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg
status,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image93.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
baseline,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg
trust,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image47.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg
similarity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image45.svg
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg
baseline,control9,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-9-txt.svg
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image126.svg
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg
status,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image130.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image129.svg
control18,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-18-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image30.svg
control7,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-7-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg
knowledge,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg
identity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image91.svg
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image104.svg
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image89.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg
status,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image23.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image142.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg
baseline,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image64.svg
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image48.svg
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image9.svg
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image128.svg
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image51.svg
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg
control6,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-6-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg
knowledge,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image81.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image126.svg
knowledge,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image118.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image125.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg
baseline,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg
knowledge,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image95.svg
conflict,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg
status,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
identity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image71.svg
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image74.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg
similarity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg
baseline,control8,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-8-txt.svg
control4,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-4-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
control4,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-4-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image133.svg
knowledge,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image36.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg
baseline,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image138.svg
trust,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image127.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg
identity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image26.svg
status,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image114.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg
trust,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image11.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
support,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image124.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image47.svg
identity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image77.svg
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image96.svg
baseline,control2,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-2-txt.svg
control9,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-9-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image123.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image122.svg
fun,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image108.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg
identity,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
baseline,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image119.svg
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image149.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg
identity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image83.svg
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image66.svg
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image135.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image116.svg
support,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image65.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image66.svg
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image97.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg
baseline,control2,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-2-txt.svg
similarity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image19.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image68.svg
identity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image83.svg
trust,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image150.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image149.svg
knowledge,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image2.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg
baseline,control8,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-8-txt.svg
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg
identity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg
conflict,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image121.svg
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image1.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg
control11,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-11-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
trust,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image107.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image137.svg
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image100.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image143.svg
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image105.svg
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image115.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image114.svg
baseline,control13,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-13-txt.svg
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image106.svg
support,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image24.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image25.svg
trust,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image40.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg
baseline,control14,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-14-txt.svg
control7,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-7-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image42.svg
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image70.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image45.svg
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image99.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image65.svg
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image146.svg
similarity,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image94.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image7.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg
baseline,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image95.svg
control18,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-18-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image23.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image22.svg
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg
control16,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-16-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg
knowledge,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image118.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image140.svg
baseline,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
conflict,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image102.svg
baseline,control17,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-17-txt.svg
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image74.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image86.svg
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image81.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image82.svg
similarity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image100.svg
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image55.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image73.svg
baseline,control14,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-14-txt.svg
similarity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image141.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image115.svg
similarity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg
knowledge,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image79.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg
identity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image144.svg
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image29.svg
control16,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-16-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image145.svg
baseline,control1,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-1-txt.svg
identity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image56.svg
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image117.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image147.svg
conflict,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg
control5,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-5-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg
similarity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image22.svg
knowledge,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image31.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image93.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image116.svg
status,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image80.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image79.svg
