dim1,dim2,url1,url2,swapped
identity,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,True
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image89.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image90.svg,False
baseline,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image78.svg,False
fun,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image42.svg,True
status,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image112.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image111.svg,True
similarity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image19.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image110.svg,False
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image31.svg,True
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image135.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
fun,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,True
control12,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-12-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,True
support,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image122.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg,False
status,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image52.svg,True
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image93.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
baseline,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg,False
trust,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image47.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg,True
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,False
similarity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image45.svg,False
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg,True
baseline,control9,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-9-txt.svg,False
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image126.svg,False
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg,False
status,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image130.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image129.svg,True
control18,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-18-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image30.svg,False
control7,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-7-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,True
knowledge,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,False
identity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image91.svg,True
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image104.svg,False
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image89.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,True
status,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image23.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,True
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image142.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,True
baseline,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image64.svg,False
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image48.svg,True
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image9.svg,False
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image128.svg,False
fun,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image51.svg,False
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image32.svg,False
control6,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-6-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,True
conflict,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,True
knowledge,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image81.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image126.svg,False
knowledge,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image118.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image44.svg,False
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image125.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,False
baseline,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg,False
knowledge,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,False
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image95.svg,True
conflict,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image28.svg,True
status,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image33.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
identity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image71.svg,True
support,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image74.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,False
similarity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image5.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,True
baseline,control8,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-8-txt.svg,False
control4,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-4-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
control4,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-4-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
identity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image53.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image133.svg,True
knowledge,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image36.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,True
baseline,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image138.svg,False
trust,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image127.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image103.svg,True
identity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image26.svg,True
status,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image114.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,False
trust,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image11.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
support,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image124.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image47.svg,False
identity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image77.svg,True
baseline,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image96.svg,False
baseline,control2,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-2-txt.svg,False
control9,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-9-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image123.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image122.svg,True
fun,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image108.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image46.svg,True
identity,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,True
baseline,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image119.svg,False
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image149.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image139.svg,False
identity,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image83.svg,True
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image50.svg,False
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image43.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image66.svg,True
trust,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image135.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image116.svg,False
support,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image65.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image66.svg,False
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image97.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,False
baseline,control2,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-2-txt.svg,False
similarity,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image19.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image68.svg,True
identity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,True
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image83.svg,False
trust,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image150.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image149.svg,True
knowledge,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image2.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,True
baseline,control8,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-8-txt.svg,False
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,False
identity,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,True
conflict,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image121.svg,True
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image1.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,True
control11,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-11-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,True
trust,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image107.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,True
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image137.svg,False
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image100.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image143.svg,False
conflict,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image105.svg,False
trust,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image115.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image114.svg,True
baseline,control13,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image12.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-13-txt.svg,False
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image106.svg,False
support,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image24.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image25.svg,False
trust,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image40.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,True
baseline,control14,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-14-txt.svg,False
control7,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-7-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,True
identity,similarity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image75.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image42.svg,True
fun,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image70.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image45.svg,False
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image99.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image65.svg,True
conflict,status,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image4.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image146.svg,False
similarity,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image94.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image27.svg,False
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image7.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image6.svg,True
baseline,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image95.svg,False
control18,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-18-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,True
status,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image23.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image22.svg,True
fun,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,True
control16,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-16-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,True
knowledge,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image118.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image140.svg,True
baseline,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image62.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,False
conflict,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image16.svg,True
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image21.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image102.svg,True
baseline,control17,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image8.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-17-txt.svg,False
support,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image74.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image86.svg,False
knowledge,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image81.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image82.svg,False
similarity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image100.svg,True
trust,support,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image55.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image73.svg,True
baseline,control14,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image60.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-14-txt.svg,False
similarity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image141.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image115.svg,False
similarity,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image101.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg,False
knowledge,conflict,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image79.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image37.svg,False
identity,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image92.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image144.svg,True
fun,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image61.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image29.svg,True
control16,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-16-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,True
conflict,fun,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image145.svg,False
baseline,control1,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image0.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-1-txt.svg,False
identity,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image57.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image56.svg,True
support,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image117.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image10.svg,True
conflict,trust,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image147.svg,False
conflict,knowledge,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image76.svg,True
control5,baseline,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image-control-5-txt.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image3.svg,True
conflict,identity,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image17.svg,https://tools.danskspeedcubingforening.dk/dontlook/svg_img/image13.svg,False
